rota,aktarma_sayısı,avg_pricekm,median_price,min_price,max_price,std_price
LAX-IAD,69495,0.24073581213854106,0.23125,0.04935587761674718,1.6498563218390805,0.07000323276941406
LAX-JFK,47071,0.22083887878763908,0.19192433612222629,0.046216436126932464,1.9457282343368594,0.14486593866804803
LAX-LGA,110091,0.21009327619568044,0.20108777194298574,0.0421880854252529,1.3205937617437054,0.06765524976254178
LAX-MIA,72772,0.2141597971305891,0.20819483436271757,0.04671130366285939,1.860453185121847,0.07281479108354645
LAX-OAK,30196,0.314074591601749,0.32348337950138506,0.021257183908045978,1.3864201183431952,0.1675932956674254
LAX-ORD,49991,0.24747328530794616,0.24192000000000002,0.06477011494252874,1.4872169811320755,0.07360065164674254
LAX-PHL,76166,0.23023405877193584,0.23153153153153155,0.06704647676161919,1.2626616604088443,0.06069902599462587
LAX-SFO,12030,0.5039393321111568,0.4383480825958702,0.05645833333333333,5.969321533923304,0.26900897108883604
LGA-ATL,31040,0.26814639505360194,0.2606299212598425,0.0366235632183908,2.7002755905511813,0.11741712605925587
LGA-BOS,15147,0.5676987045157391,0.532972972972973,0.039224137931034485,3.4586921850079744,0.27245280301111857
LGA-CLT,41381,0.33715647064260673,0.3295825771324864,0.04027298850574713,3.667155963302752,0.13354913650448974
LGA-DEN,29538,0.21275706338314365,0.19876771410967345,0.05234042553191489,1.3809173272933182,0.07198322461543911
LGA-DFW,32038,0.1814221176906151,0.1701667417755746,0.04451867816091954,1.8156521739130433,0.0692885180487152
LGA-DTW,24986,0.3542291055841662,0.3372986369268897,0.03505028735632184,3.4795876288659793,0.18181426177634452
LGA-IAD,82191,0.5798627932663386,0.45652522935779816,0.07801724137931033,5.419049773755655,0.3166353413580204
LGA-LAX,116904,0.19845617370487317,0.1862490450725745,0.03938425791460935,4.8654166666666665,0.08781747306864
LGA-MIA,34454,0.1785806892600298,0.17989130434782608,0.02204741379310345,2.222463768115942,0.0788788255765125
LGA-OAK,89547,0.28284468547090325,0.25865168539325845,0.08672297297297298,1.5151652298850575,0.1185456272303454
LGA-ORD,15658,0.26655034165085517,0.23972222222222223,0.047327586206896546,2.905,0.13582713431584198
LGA-PHL,74895,0.3853740810350953,0.32729885057471264,0.07136887608069165,2.435632183908046,0.21398743869304915
LGA-SFO,86968,0.21565797354437716,0.2096732026143791,0.044427653947865506,1.2563895304080062,0.07629762842442867
MIA-ATL,22032,0.2933620794086446,0.2540086206896552,0.02204741379310345,3.438926174496644,0.2183226878361949
MIA-BOS,40564,0.17896443557263128,0.17471739130434782,0.02204741379310345,1.7973015873015872,0.07279014954685366
MIA-CLT,43281,0.3211304915360514,0.28688,0.032025862068965516,3.3383435582822085,0.17204157980104684
MIA-DEN,39313,0.21870221408894713,0.21199360341151385,0.03073994252873563,1.1072207084468664,0.08223889113341867
MIA-DFW,51465,0.22674551904593349,0.20635881907645726,0.039511494252873564,2.126995515695067,0.12088045350482406
MIA-DTW,34497,0.20490320764268888,0.18539962240402771,0.03073994252873563,1.4624891961970612,0.09629764515688508
MIA-EWR,19387,0.21241579717670625,0.19602453102453102,0.02204741379310345,1.9996376811594203,0.12275154807425996
MIA-IAD,23819,0.3085249368301714,0.29705660377358495,0.06687547169811321,2.299387129724208,0.1273216045208654
MIA-JFK,7203,0.18833507082654533,0.17264492753623187,0.053591954022988504,2.185326086956522,0.12232589637056845
MIA-LAX,62637,0.19052103834893303,0.1827613104524181,0.04353091140854047,1.3166013071895424,0.062249004263007585
MIA-LGA,29979,0.17230866011198262,0.17264492753623187,0.02204741379310345,2.222463768115942,0.08214452812012125
MIA-OAK,29512,0.265829681194754,0.2629730740463725,0.07190814814814815,1.199066091954023,0.09124800348823806
