route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
CLT-MIA,31-60,22608,294.45202406227884,290.7,55.18,1180.1,128.12537703326316
CLT-OAK,0-3,1132,673.984867491166,621.6,276.28,1475.6,248.6058414838161
CLT-OAK,4-7,1596,685.2958145363409,695.61,236.28,1804.6,256.305157844523
CLT-OAK,8-14,2966,713.7376736345246,735.61,224.18,2076.6,259.0332388089886
CLT-OAK,15-30,5320,742.2410056390977,765.61,187.28,2277.6,267.9624782439309
CLT-OAK,31-60,9084,740.8882661822985,780.61,192.11,2067.61,265.36185848457774
CLT-ORD,0-3,3904,257.9752663934426,210.1,160.7,2060.1,137.5610208592231
CLT-ORD,4-7,4915,267.26561546286877,199.1,133.7,2069.1,139.63540973891068
CLT-ORD,8-14,8316,274.8739321789322,228.1,150.1,1580.05,144.20591181520808
CLT-ORD,15-30,13700,283.01878686131386,254.08,139.08,1773.65,133.77508604547162
CLT-ORD,31-60,21689,264.483925492185,237.1,139.1,1396.09,108.64449749883926
CLT-PHL,0-3,3512,302.33780751708434,288.1,92.49,2108.11,163.23225418948493
CLT-PHL,4-7,4393,304.8004347826087,288.1,42.48,2099.11,148.99833582635458
CLT-PHL,8-14,7164,303.52669318816305,250.7,42.48,1348.1,143.3198062908347
CLT-PHL,15-30,12177,314.6857748213846,302.11,42.48,1358.1,130.19239731497314
CLT-PHL,31-60,18876,301.8774131171858,277.1,52.49,1358.1,117.68430024332345
CLT-SFO,0-3,3681,513.8936267318663,487.1,295.7,2955.7,185.86049695786548
CLT-SFO,4-7,4735,567.3788299894404,573.1,246.1,2955.7,191.25159640473356
CLT-SFO,8-14,8669,619.4004256546315,607.1,246.1,3218.7,204.90303092206491
CLT-SFO,15-30,17712,670.1346256775067,652.1,164.1,3566.1,224.689696139165
CLT-SFO,31-60,25634,646.3588433330733,617.1,164.1,3218.7,293.7951919952537
DEN-ATL,0-3,2931,373.8737461617195,311.58,133.99,2530.6,143.30655841017042
DEN-ATL,4-7,3978,391.9755329311212,378.6,112.99,1314.6,129.1333181191388
DEN-ATL,8-14,7219,419.8109087131182,403.99,112.99,1551.61,140.47219760282857
DEN-ATL,15-30,12819,445.4728410952493,428.6,112.99,2004.6,154.09237422049958
DEN-ATL,31-60,19762,417.7930270215565,399.6,95.16,1661.61,135.36254723233125
DEN-BOS,0-3,3221,359.33561005898787,331.1,133.99,2373.6,136.37402870212912
DEN-BOS,4-7,4227,409.23053465814996,399.1,173.99,2149.6,139.06758788801906
DEN-BOS,8-14,8600,458.75624186046514,444.6,103.99,1794.8,133.77424692632988
DEN-BOS,15-30,16288,490.1685406434185,477.61,117.99,2036.09,130.32105631667807
DEN-BOS,31-60,24273,458.67887117373215,444.59,122.6,1794.8,111.42195885716629
DEN-CLT,0-3,2674,392.231234106208,380.61,173.98,2456.61,167.81588996732302
DEN-CLT,4-7,3591,415.05822890559733,399.6,157.99,1767.59,150.9115397605725
DEN-CLT,8-14,6750,449.40468444444446,431.6,122.98,2029.6,152.04680727736994
DEN-CLT,15-30,11924,478.1691705803422,460.6,107.99,1867.6,149.40956061919158
DEN-CLT,31-60,18145,439.99668669054836,431.6,97.99,1924.6,150.32860811506654
DEN-DFW,0-3,2650,252.55041886792452,202.6,113.98,2131.6,153.55209805421018
DEN-DFW,4-7,3159,245.6927540360874,200.6,98.99,2131.6,119.96811024579293
DEN-DFW,8-14,5138,242.7776177500973,202.6,83.98,2217.6,134.63216517387139
DEN-DFW,15-30,8910,244.28786756453422,217.61,63.99,2283.59,127.8266975111989
DEN-DFW,31-60,14602,277.56442062731134,216.6,63.99,2283.59,266.25026280191537
DEN-DTW,0-3,2372,376.075244519393,336.61,161.58,2360.61,144.4057504909181
DEN-DTW,4-7,3118,402.70627004490063,388.6,139.58,1697.6,126.64677217665538
DEN-DTW,8-14,5889,428.8269536423841,424.1,139.58,1658.6,133.86199211364618
DEN-DTW,15-30,10510,454.2635794481446,445.59,117.96,1983.6,143.19698943366862
DEN-DTW,31-60,15730,426.9151519389701,420.2,74.78,2374.11,168.64785138917696
DEN-EWR,0-3,2973,341.2835317860747,321.1,146.1,2227.6,129.58528827502153
DEN-EWR,4-7,3620,370.9522679558011,348.6,146.1,2197.59,129.37671449562836
DEN-EWR,8-14,6810,407.5711835535977,402.19,134.78,1128.6,125.71438712478437
DEN-EWR,15-30,12955,438.47785874179857,426.1,151.68,2107.6,126.51936736943293
DEN-EWR,31-60,18465,434.14485296506905,418.6,95.16,2107.6,137.33715901971837
DEN-IAD,0-3,2098,370.4583794089609,305.61,285.6,2199.6,158.42973425973685
DEN-IAD,4-7,2600,413.1542653846154,366.1,259.6,2065.6,166.05125943371132
DEN-IAD,8-14,4588,453.02117916303405,429.6,203.6,2065.6,176.31890566710143
DEN-IAD,15-30,9276,509.5906112548512,481.6,183.6,2069.61,212.67794192861248
DEN-IAD,31-60,13702,466.67053568822075,453.1,192.6,2065.6,165.96872471882966
DEN-JFK,0-3,3403,490.8900176315016,545.61,138.6,1554.6,189.43601150356676
DEN-JFK,4-7,4751,506.01532940433594,552.21,138.6,1257.6,166.07207267313
DEN-JFK,8-14,8882,528.3363668092773,565.6,124.61,1841.6,154.85775561894147
DEN-JFK,15-30,16891,540.8600426262507,571.2,118.6,2333.6,143.65043964521877
DEN-JFK,31-60,25834,527.7750178059921,573.2,103.6,1280.71,147.51377014840014
DEN-LAX,0-3,5333,279.24962497656105,244.6,64.58,2273.61,123.94678442647984
DEN-LAX,4-7,6141,262.8486793681811,241.6,52.58,1693.6,116.9840001375155
DEN-LAX,8-14,9963,256.59136003211887,218.6,71.58,1693.6,125.12236519279296
DEN-LAX,15-30,17435,266.1306745053054,232.6,53.99,1162.6,123.17523723190911
DEN-LAX,31-60,26554,264.7695571288695,232.6,43.98,1162.6,109.59445664844557
DEN-LGA,0-3,3171,292.73867865026807,273.6,138.6,1644.6,106.87159674270572
DEN-LGA,4-7,3898,319.51312981015906,301.6,138.6,827.6,103.07869175052024
DEN-LGA,8-14,7098,352.49207664130745,348.6,138.6,1287.61,105.37293492219561
DEN-LGA,15-30,13663,385.0221408182683,372.6,133.61,1302.6,104.43376449185656
DEN-LGA,31-60,20244,357.19091928472636,353.405,95.16,1387.1,96.15439991760111
DEN-MIA,0-3,2707,423.0456667898043,370.6,158.98,2705.61,135.11486107009986
DEN-MIA,4-7,3738,418.4131781701445,381.6,83.59,1488.6,121.31845967170959
DEN-MIA,8-14,6645,426.8679097065463,426.1,70.59,1488.6,139.76017930866144
DEN-MIA,15-30,12014,447.48072165806565,437.2,42.79,2069.61,149.20105626172648
DEN-MIA,31-60,20715,426.77423364711564,427.6,55.0,1822.6,152.3827932455161
DEN-OAK,0-3,1864,413.5113090128756,460.1,79.98,1450.51,157.5311076090142
DEN-OAK,4-7,2538,412.58257683215135,477.2,67.88,1603.7,162.95546181982576
DEN-OAK,8-14,4590,402.4878191721133,472.71,60.79,1012.0,168.4023275722905
